product_id,course_id,course_name,session_no,part_id,part_name,chapter_id,chapter_name,clip_id,clip_name,clip_duration,lecture_type,bo_memo,status
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,1,874000,Part 1. 입문,874000,Ch 5. 개발전 기초 실습 - Rules For AI,6550172,01. .cursorrules 이란,0:06:25,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,2,876079,Part 2. 프로젝트 1 - 투두리스트,876080,Ch 1. 투두리스트 제작 + 파이어베이스,6855325,01. 투두리스트 제작 전 파이어베이스 알아보기,0:09:34,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,2,876079,Part 2. 프로젝트 1 - 투두리스트,876080,Ch 1. 투두리스트 제작 + 파이어베이스,6855335,"02. 투두리스트 프로젝트 세팅하기 (PRD, Require)",0:21:08,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,2,876079,Part 2. 프로젝트 1 - 투두리스트,876080,Ch 1. 투두리스트 제작 + 파이어베이스,6855338,03. 본격적으로 투두리스트 웹사이트 만들기,0:25:14,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,2,876079,Part 2. 프로젝트 1 - 투두리스트,876080,Ch 1. 투두리스트 제작 + 파이어베이스,6855328,04. 파이어베이스 데이터 베이스 설정과 연결,0:09:07,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,3,876081,Part 3. 프로젝트 2 - v0 + Cursor로 만드는 매력적인 랜딩페이지 제작,876082,Ch 1. 랜딩페이지 제작전 숙지 기초 지식,6855330,01. 랜딩페이지란,0:06:22,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,3,876081,Part 3. 프로젝트 2 - v0 + Cursor로 만드는 매력적인 랜딩페이지 제작,876082,Ch 1. 랜딩페이지 제작전 숙지 기초 지식,6855327,02. v0란,0:04:01,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,3,876081,Part 3. 프로젝트 2 - v0 + Cursor로 만드는 매력적인 랜딩페이지 제작,876083,Ch 2. 랜딩페이지 제작,6855334,01. v0를 이용한 랜딩페이지 기초 디자인,0:13:11,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,3,876081,Part 3. 프로젝트 2 - v0 + Cursor로 만드는 매력적인 랜딩페이지 제작,876083,Ch 2. 랜딩페이지 제작,6855337,02. Cursor를 이용한 랜딩페이지 디자인 업그레이드,0:13:35,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,3,876081,Part 3. 프로젝트 2 - v0 + Cursor로 만드는 매력적인 랜딩페이지 제작,876083,Ch 2. 랜딩페이지 제작,6855333,03. tally 폼을 추가하여 고객 정보 수집하기,0:10:52,필수강의,,PENDING
PRODUCT-SAMPLE,KDC-SAMPLE-001,지금 당장 나만의 서비스 런칭! 13가지 초!고퀄리티 웹 서비스로 Cursor AI 마스터,3,876081,Part 3. 프로젝트 2 - v0 + Cursor로 만드는 매력적인 랜딩페이지 제작,876083,Ch 2. 랜딩페이지 제작,6855324,04. 파이어베이스로 호스팅하기,0:06:42,필수강의,,PENDING
